identifier,relationType,relatedIdentifier,relatedIdentifierType,resourceTypeGeneral
10.5281/zenodo.4028482,IsPartOf,https://zenodo.org/communities/africarxiv,URL,NA
10.5281/zenodo.4028482,IsPartOf,https://zenodo.org/communities/covid-19,URL,NA
10.5281/zenodo.4028482,IsPartOf,https://zenodo.org/communities/zenodo,URL,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4116437,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4162533,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4162769,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4167591,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4202941,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4263356,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4279395,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4302783,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4308071,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4312048,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4312159,DOI,NA
10.5281/zenodo.4116436,HasVersion,10.5281/zenodo.4314963,DOI,NA
10.5281/zenodo.4255545,HasVersion,10.5281/zenodo.4255546,DOI,NA
10.5281/zenodo.4255545,HasVersion,10.5281/zenodo.4255559,DOI,NA
10.5281/zenodo.4110674,HasVersion,10.5281/zenodo.4110675,DOI,NA
10.5281/zenodo.4008358,HasVersion,10.5281/zenodo.4008359,DOI,NA
10.5281/zenodo.4008358,IsPartOf,https://zenodo.org/communities/africarxiv,URL,NA
10.5281/zenodo.4008358,IsPartOf,https://zenodo.org/communities/bioinformatics,URL,NA
10.5281/zenodo.4008358,IsPartOf,https://zenodo.org/communities/covid-19,URL,NA
10.5281/zenodo.4119262,HasVersion,10.5281/zenodo.4119263,DOI,NA
10.5281/zenodo.4119262,IsPartOf,https://zenodo.org/communities/covid-19,URL,NA
